商品名称,商品价格,商品评价量,店铺名,标签,商品链接
西伯利亚（XIBERIA） S21电脑头戴式电竞游戏耳麦主播不求人吃鸡听声辨位绝地求生有线带麦 S21灰色3.5mm（手游版/手机版）,249.00,5万+,西伯利亚耳机旗舰店,,https://item.jd.com/56864013217.html
Viken【华强北5代顶配版】苹果蓝牙耳机双耳无线Air3降噪适用iphone14/13/12/11入耳蓝牙5.3无线充 旗舰全功能5代【5月原版降噪版】 秒连接+入耳检测+任意,229.00,100万+,维肯数码旗舰店,"京东物流,免邮,券200-51,赠",https://item.jd.com/10035789319416.html
兰士顿 蓝牙耳机 骨传导概念耳夹式无线开放不入耳 运动跑步骑行通话降噪 适用于苹果华为小米手机,129.00,50万+,兰士顿京东自营旗舰店,"自营,新品,每满129-30",https://item.jd.com/100050081230.html
IVGO 蓝牙耳机真无线双耳运动跑步游戏适用于苹果华为vivo荣耀oppo一加手机通用,38.60,50万+,IVGO旗舰店,"京东物流,免邮",https://item.jd.com/10023983700435.html
Viken【华强北5代Pro2顶配版】Air苹果蓝牙耳机无线ANC主动降噪适用iphone14/13/12/11洛达5.3运动芯片 【6月原版全功能】滑动调节音量 【空间音頻+三真电量+,288.00,5万+,维肯旗舰店,"京东物流,免邮,券200-30",https://item.jd.com/10063004092147.html
DIJO【2023新款】Air蓝牙耳机双耳无线降噪适用于苹果14/13/12华为oppo小米vivo荣耀华强北 【华强北旗舰】【空间功能+ 任意名字+超强续航+秒连接】,59.90,20万+,颂者手机配件专营店,"京东物流,券50-1",https://item.jd.com/10053207693692.html
cleer ARC II 不入耳开放式智能耳机无线蓝牙耳机开车挂耳式商务ll适用苹果华为小米vivo 燕尾蓝【音乐版】,1799.00,5000+,cleer京东自营官方旗舰店,自营,https://item.jd.com/10067446806896.html
西伯利亚（XIBERIA）V13电脑耳机头戴式有线 游戏耳机 usb7.1声道 电竞耳机耳麦带麦 黑色,89.00,20万+,西伯利亚游戏耳机京东自营旗舰店,自营,https://item.jd.com/100006008905.html
小米活塞耳机 清新版 黑 入耳式手机耳机 通用耳麦,29.00,100万+,小米京东自营旗舰店,自营,https://item.jd.com/3767541.html
Sibyl 真无线蓝牙耳机入耳式双耳降噪运动游戏低延迟音乐高音质超长续航适用华为oppo小米vivo学生福音 灰色【APP+40ms低延迟+续航60h】,88.00,10万+,熙彼儿（Sibyl）官方旗舰店,"京东物流,免邮,券3-2,满88-2",https://item.jd.com/10063504420346.html
Apple AirPods (第三代) 配闪电充电盒 无线蓝牙耳机 Apple耳机 适用iPhone/iPad/Apple Watch,1349.00,50万+,Apple产品京东自营旗舰店,"自营,券800-100",https://item.jd.com/100038004395.html
Apple 采用Lightning/闪电接头的 EarPods 耳机 iPhone iPad 耳机 手机耳机,149.00,100万+,Apple产品京东自营旗舰店,自营,https://item.jd.com/3494451.html
小米（MI）Redmi Buds 4 青春版 真无线蓝牙耳机 半入耳舒适佩戴 小米华为苹果手机通用 晴雪白,129.00,20万+,小米京东自营旗舰店,"自营,每满129-10,赠",https://item.jd.com/100041109480.html
MICROKIA【2023新款】苹果蓝牙耳机无线二代适用iPhone14/13/12/11华强北洛达air5.3芯片/无线充电/反磁 【入耳检测+改名定位+开盖秒连】 顶配版【配MagSefe无,199.00,20万+,迈凯亚旗舰店,"京东物流,免邮,券99-20",https://item.jd.com/10021775957557.html
MICROKIA华为适用蓝牙耳机无线p60p50p40p30nova11/10/9/8/7/6mate50/40proOPPOvivo荣耀苹果通用 【华为通用Freepluds】顶配款 【智能降噪/触,219.00,20万+,禾米配件专营店,"京东物流,免邮,券198-10",https://item.jd.com/10040560869968.html
联想（Lenovo）拯救者StarY360 USB7.1声道游戏耳机头戴式有线电脑电竞耳机耳麦 麦克风 带线控 黑色R9000P/R7000,99.00,20万+,联想京东自营旗舰店,自营,https://item.jd.com/7108208.html
小米Redmi Buds3青春版 真无线蓝牙耳机 入耳式耳机 蓝牙耳机 小米无线耳机 蓝牙5.2 苹果华为手机通用,99.00,200万+,小米京东自营旗舰店,"自营,每满99-10,赠",https://item.jd.com/100032329020.html
漫步者（EDIFIER）LolliPods 真无线蓝牙耳机 蓝牙5.3 音乐耳机 适用苹果华为小米手机 白色,178.00,20万+,漫步者京东自营旗舰店,"自营,满178-20",https://item.jd.com/100024212879.html
HIFIMAN（海菲曼）SvanarWireless天鹅真无线 主动降噪蓝牙耳机 入耳式无线耳机 HIFI音质 蓝牙5.2,3299.00,5万+,HIFIMAN京东自营旗舰店,自营,https://item.jd.com/100051321576.html
漫步者（EDIFIER）HECATE G2专业版USB7.1声道游戏耳机电竞耳麦头戴式电脑网课办公麦克风吃鸡带线控 黑色,169.00,20万+,漫步者HECATE京东自营旗舰店,自营,https://item.jd.com/100005809056.html
SANAG塞那 蓝牙耳机骨传导概念开放式真无线不入耳运动跑步通话降噪耳夹式耳机气传导适用苹果华为安卓 象牙白丨脉冲定向传音丨臻享版,229.00,10万+,SANAG数码京东自营旗舰店,"自营,券216-17,满199-10",https://item.jd.com/10066255062610.html
雷蛇 Razer 北海巨妖标准版X 北海巨妖标准版升级款 头戴式游戏耳机 电竞耳麦 7.1 电脑手机 黑色,179.00,50万+,雷蛇（Razer）京东自营官方旗舰店,自营,https://item.jd.com/100006601306.html
漫步者（EDIFIER）HECATE G2专业版USB7.1声道游戏耳机电竞耳麦头戴式电脑网课办公麦克风吃鸡带线控 白色,169.00,10万+,漫步者HECATE京东自营旗舰店,自营,https://item.jd.com/100005809052.html
荣耀亲选 Wingcloud Earbuds X3i 真无线TWS蓝牙耳机 通话降噪 /蓝牙5.3无线耳机 适配荣耀小米手机,79.00,10万+,荣耀京东自营旗舰店,"自营,赠",https://item.jd.com/100030412853.html
韶音（SHOKZ）舒适圈OpenFit开放式蓝牙耳机不入耳运动跑步长续航通话降噪T910 暖日白,1298.00,1万+,韶音（SHOKZ）京东自营旗舰店,自营,https://item.jd.com/100049060778.html
华为HUAWEI FreeBuds 4E 真无线蓝牙耳机 主动降噪半入耳式 游戏运动音乐耳机 高解析音质 陶瓷白,449.00,20万+,华为京东自营官方旗舰店,"自营,赠",https://item.jd.com/100034387834.html
