名城,连接,时间
中信城开深圳东角头项目(暂定名)规划及建筑概念方案设计国际竞赛资格预审结果公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-06-14
深圳市盐田区旧墟镇片区城市更新项目建筑方案设计国际竞赛预审结果公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-06-07
长春净月高新区长征郊野公园（大顶子山）山顶景观及建筑概念方案设计征集公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-05-25
山东淄博市临淄区市民文体中心建设项目概念方案设计竞选结果公示,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-05-24
中信城开深圳东角头项目(暂定名)规划及建筑概念方案设计国际竞赛,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-05-21
风境力舍、天尚、CCDI等7家入围|湖州市吴兴区戴山单元BLD-03-01-03A号项目建筑概念方案设计国际征集预审结果公布,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-05-16
重庆市丰都博物馆建筑方案设计及片区详细城市设计征集公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-05-08
资格预审公告|湖州市吴兴区戴山单元BLD-03-01-03A号地块项目建筑概念方案设计国际征集,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-05-07
三亚崖州湾科技城文体中心（深海博物馆及体育中心）建筑方案设计国际竞赛预审结果揭晓,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-04-15
5家竞赛方案出炉！西咸新区秦创原·金湾科创区市民中心建筑方案设计国际竞赛,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-04-08
三亚崖州湾科技城文体中心方案设计国际竞赛即将启动,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-04-02
关于四川美术学院研究生院建设项目方案设计征集活动评审结果通知,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-03-31
国投·襄阳府公服地块项目规划及建筑方案设计征集公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-03-21
《深圳市盐田区旧墟镇片区城市更新项目建筑方案设计国际竞赛》,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-03-16
福建经贸学校粮食主题文化公园建设方案设计及预算征集公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-03-14
荆州技师学院概念方案设计竞赛,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-03-05
浙江中医药大学第十一届统计调查方案设计竞赛通知,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-03-03
忻州长城博物馆（园）展陈工程方案设计征集公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-28
三亚崖州湾科技城文体中心（深海博物馆及体育中心）建设方案设计国际竞赛预公告,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-24
宿州经开区运粮河生态湿地公园方案设计项目方案征集,http://chuangyisai.com/search/index/page-1.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-23
四川美术学院研究生院建设项目方案设计征集公告,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-16
济源东区重点区域概念性建筑方案设计征集完成成果评审,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-14
上栗南北街城市更新项目中洲概念性方案设计征集公告,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-07
《德昌县城构建二级旅游目的地总体策划》与《德昌城市更新暨二级旅游目的地详细规划与重要节点区域概念性方案设计》,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-02-04
中国人工智能（广州）产业园建筑方案设计国际竞赛优胜方案名单公布,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-01-17
《西险大塘（杭州市段）沿线环境提升配套项目概念性规划方案设计》公开征集公告,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-01-12
射洪这个广场公开征集概念性方案设计大赛,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-01-11
四川射洪经济开发区市政公用事务中心关于东滨路连接涪江三桥两侧广场概念性方案设计征集告知书,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2023-01-08
即将截止报名！两江新区这所学校公开征集概念方案设计大赛,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2022-12-26
望达湿地公园前期概念方案设计征集公告,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2022-12-23
江与城旁九年一贯制学校（暂定名）概念方案设计征集公告,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2022-12-23
方案评审结果|深圳市梅林山-银湖山生态游憩廊桥方案设计国际竞赛,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2022-12-17
《恺之峰旅游区提档升级项目》概念方案设计征集活动,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2022-12-16
青岛湾广场项目方案设计国际征集评选公示,http://chuangyisai.com/search/index/page-2.html?keyword=%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1&model=2,2022-11-23
