标题,内容
踝关节僵硬，活动受限,
膝盖上下楼梯发出声响,"中老性增生性关节炎也称骨性关节炎、肥大性或退行性关节炎，临床以休息痛、关节肿胀、关节活动受限及畸形为主要症状，是中老年人及重体力劳动者的常见病。其特征是关节软骨发生原发性或继发性退行性变，并在关节边缘有骨赘形成。病理变化以软骨变性及软骨下骨病变为主。增生性关节炎可分为原发性和继发性两种，我们这里重点介绍原发性。增生性关节炎多发于负重较大，活动较多的关节，如颈椎、腰椎、膝、髋等大关节。增生性关节炎就其临床特点，与中医之痹证相似，临床治疗多以“痹证”着手。中医学认为该病多因人体正气内虚，风湿寒邪侵入人体，闭阻气血，留着经络、关节，或因年高体虚，肝肾不足，慢性劳损，筋脉关节失养，或邪停经络，久则影响气血运行，气滞血瘀，留着关节等所致。(1)风湿寒邪入侵：素体虚弱，肤腠不密，易遭致外邪入侵，或平时体质较好，由于久居严寒潮湿之地，感受风湿寒邪，入侵机体，闭阻气血，留着经络、关节，影响其正常生理功能而发病。(2)瘀血闭阻经络：痹证日久，气血运行不畅，气滞血停而为瘀，或病久，气血经络为外邪壅滞而发生血瘀，瘀血停留于关节、骨胳，使筋骨、关节失养发为该病。(3)肝肾不足：久病体虚，或年高体弱，或慢性疾病导致肝肾不足，或长期过用温燥之品，损伤肝肾之阴。肝主筋，肾主骨，肝肾充盈，则筋骨劲强，关节滑利，运动灵活。而肝肾不足，致使筋骨失养，形体疲极而发为本病。又因慢性劳损日久，致气血不和，经脉受阻使筋骨失养更甚，伤及筋骨，反又可累及肝肾，发为该病。在该病中，长期肝肾阴虚，阴损及阳，导致阳虚，阴阳两虚，则阳无以化生，更易遭致外邪的入侵而使疾病加重。如需要我们的帮助可点击左边“进入其诊室”！祝早日康复！如我回答的对你满意，请及时点击""采纳答案"",这是对他们热心帮助的唯一肯定,谢谢! "
有疑问，请大家帮帮忙！,"估计是腱鞘炎,可以打封闭, "
两个脚跟疼痛是怎么回事？,"你好类风湿性关节炎是一种以关节病为主,能引起肢体严重畸形的慢性全身性自身免疫性疾病,它不但侵犯关节和腱鞘滑膜,也常常累及其他器官,本病早期疼痛剧烈,祖国医学将其归入“痛痹”，范畴．类风湿性关节炎是一种慢性与生俱在的疾病，其特点是：病情复杂病程长，好发部位为对称性手足小关节，继而全身大小关节相继病变，女性多见。其症状：早期有疲惫无力，食欲减退，肌肉酸痛，手足麻木，继而关节疼痛，发僵，局部体温升高，肌萎缩，倦有不规则发热，体重下降，最后关节活动受限，或发生半脱位畸形或强直，早期有骨质疏松，软组织肿胀，关节间隙变窄，中期关节面边缘侵蚀，化验检查：病变活动期血沉高，贫血，白细胞升高，类风湿因子阳性等，但总的说来采用综合疗法能达到减轻症状，保留关节功能．合理的生活方式这三个实际的目的．建议您可以采用中医疗法，外敷骨炎膏，内服中成药，在加以适当的功能锻炼，可以控制病情的发展，减轻疼痛，防止畸形．祝您早日康复！建议你查看我院网址,联系我院,索取资料. "
腓骨骨折的痊愈？,
我的脚背还能治好吗,"是受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。中医认为所有的痛都是风寒湿痹，痰湿，瘀血停留（增生，肿块，肥大，风湿都属瘀的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化瘀、促使气血重新组合的功效)。 "
"其它,肯请给予我指明一条明确的治疗方案,拍过片子骨头没事","你这是典型腰腿综合症，是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。中医认为所有的痛都是风寒湿痹，痰湿，瘀血停留（增生，肿块，肥大，风湿都属瘀的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化瘀、促使气血重新组合的功效)。 "
"我已有很多年脚气了,但不太严重,目前有一个脚指头的指甲增后",你好。灰指甲是手部常见皮肤病，现在，绝大多数灰指甲可以治好。常用的方法包括用小利刀刮除松脆病甲，或挫薄增厚的病甲，然后涂10%碘酒或30%冰醋酸溶液，也可把病甲浸于10%碘酒或鹅掌风特效药中，坚持治疗几个月后，即可生出新甲。治疗严重的灰指甲，还要内服灰黄霉素几个月。下面介绍几种常用的治疗方法：使用40%的尿素油膏。尿素油膏的配方是：尿素40克，羊毛至20克，白蜡5克，凡士林加到100克。此尿素制剂是强烈角质溶解剂，应用时，要把病甲周围皮肤用纱布保护起来，并用胶布固定好，然后再用纱布包好。每天换药1次，每次换药都要用小刀分离甲板，促使甲板与甲床分离。一般换药5~7次甲板即可软化与甲床分离。分离后，用小剪刀将甲板减成两半，局部用碘酒消毒，滴几滴1%~2%普鲁卡因溶液，几分钟后，将病甲拨除，并清刮甲床上凹凸不平的角化物，再用尿素油膏和复方苯甲酸油膏等份混合油膏敷包，每天换药1次，直至新甲完全长出。 
我女朋友手4年前骨折,你好，从你的叙述看是因为当时功能锻炼做的不及时，目前只有采取手术的方法来治疗，费用大约需要5000元左右。 
"脚踝韧带严重拉伤后,两年后康复,留下后遗症(我才1","是受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。中医认为所有的痛都是风寒湿痹，痰湿，瘀血停留（增生，肿块，肥大，风湿都属瘀的范畴），血於阻滞经络不通，气血不畅，营养通不过去引起筋的张硬或粘连而压迫神经发生疼痛或麻痹。要想彻底治愈必需筋拨离，不压迫神经，加上经络疏通(远古的疗法吊洗伤痛/吊洗风湿，具有把痰湿和於血洗出、软化疳结、活血化瘀、促使气血重新组合的功效)。 "
5年的陈旧性骨折..,"病患朋友你好;你是脚踝陈旧性骨折,要用祖传特殊专治陈旧性骨折的药物进行治疗,外贴膏药小夹板固定,内服专用中药,有一个疗程陈旧骨折就能痊愈,请你放心. "
请问医生我的虎口有肌健囊肿该怎么办？,
"我有灰指甲,想咨询一下有效的办法,最好是自己就能治好的",灰指甲是手部常见皮肤病，现在，绝大多数灰指甲可以治好。常用的方法包括用小利刀刮除松脆病甲，或挫薄增厚的病甲，然后涂10%碘酒或30%冰醋酸溶液，也可把病甲浸于10%碘酒或鹅掌风特效药中，坚持治疗几个月后，即可生出新甲。治疗严重的灰指甲，还要内服灰黄霉素几个月。下面介绍几种常用的治疗方法：使用40%的尿素油膏。尿素油膏的配方是：尿素40克，羊毛至20克，白蜡5克，凡士林加到100克。此尿素制剂是强烈角质溶解剂，应用时，要把病甲周围皮肤用纱布保护起来，并用胶布固定好，然后再用纱布包好。每天换药1次，每次换药都要用小刀分离甲板，促使甲板与甲床分离。一般换药5~7次甲板即可软化与甲床分离。分离后，用小剪刀将甲板减成两半，局部用碘酒消毒，滴几滴1%~2%普鲁卡因溶液，几分钟后，将病甲拨除，并清刮甲床上凹凸不平的角化物，再用尿素油膏和复方苯甲酸油膏等份混合油膏敷包，每天换药1次，直至新甲完全长出。 
脚踝扭伤一年多了~,距小腿关节（踝关节）由胫、腓二骨的下端和距骨组成，关节囊的前后壁薄弱而松弛，但两侧壁都有韧带增强。其中位于内侧的称内侧韧带较强大，位于外侧的韧带较薄弱，在足过度内翻时，较易发生内伤。所以，你属韧带损伤.病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。肌体因打击、压砸，碰撞或颠扑、负重、扭转等外力作用，致使受伤部位的组织内部大量毛细血管破裂，血液迅速渗出，破坏了正常微循环的平衡，形成局部淤血。症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。中医的疗法是以舒筋活血，促进微循环流畅为主，可采用膏药（金创活络膏）外敷治疗，主要是调理微循环系统，只要微循环畅通了肿胀、疼痛、瘀斑就可消失，肌体功能随之也就康复，不明之处可随时咨询．祝早日康复！ 
小脚趾骨折一个月后应如何护理?,
"打完篮球后,右肩膀关节处疼痛","你好是运动过量引起的软组织损伤.注意休息,可中药外敷治疗.为了方便，你也可在我的诊室进行提问的。 "
"我的脚扭伤了,老长时间还没有好!","是劳损或受伤（伤可转百病，甚至于肿瘤或癌），受凉转成风湿，痰湿停留瘀阻经络不通引起疼痛或麻痹,把痰湿洗出就通了,通则不痛。你这种情况手法治疗最快，最好。且无副作用。 "
脚踝扭伤急寻专家!!!,"你好需要注意休息.是软组织损伤还没有恢复.建议传统中医膏药外敷治疗，舒筋活血,消肿止痛,活血散淤,祛风散寒，膏药外敷治疗，局部渗透力强，药物分子经皮肤吸收参与血液循环，直达病处，并通过皮肤传导至经络、筋骨，激发肌体的调节功能，促进功能恢复而达到快速治愈目地。为了方便，你也可在我的诊室进行提问的。 "
8月前我脚踝内侧撕脱性骨折，现在踝关节的活动范围没,
右小腿，右侧内部痛。,你好，外用伤湿止痛膏，口服芬必得胶囊进行治疗，用药一周即可。一周的药物大约需要30－40元。 
右小腿，右侧内部痛。,你这种情况应该是有肌肉的挫伤，由于碰撞造成的，如果像你说的错位了，疼痛的会比较严重，如果不放心，可以拍个片子看一看，如果只是肌肉拉伤，可以外敷膏药，注意休息一段时间，问题应该不大。
左脚踝受伤,"损伤肿痛：病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。肌体因打击、压砸，碰撞或颠扑、负重、扭转等外力作用，致使受伤部位的组织内部大量毛细血管破裂，血液迅速渗出，破坏了正常微循环的平衡，形成局部淤血。症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。损伤后受伤部位淤血肿胀,经络不通,气血阻滞.可用中医外科膏药外敷（金创活络膏）,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进功能恢复而快速达到治愈目的。不明之处可随时咨询．祝早日康复！ "
"我膝盖经常疼痛,这是关节炎吗.",
骨病后遗症,
,
膝盖撞伤了,"损伤肿痛：病因病机为外力作用，损伤筋肌骨骼，导致经络阻碍，气血凝滞。肌体因打击、压砸，碰撞或颠扑、负重、扭转等外力作用，致使受伤部位的组织内部大量毛细血管破裂，血液迅速渗出，破坏了正常微循环的平衡，形成局部淤血。症状为局部肿胀、疼痛、瘀斑、肢体活动受限等。损伤后受伤部位淤血肿胀,经络不通,气血阻滞.可用中医外科膏药外敷（金创活络膏）,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进功能恢复而快速达到治愈目的。不明之处可随时咨询．祝早日康复！ "
"本次发病及持续时间,13日晚上","建议最好采用外用药物治疗.建议外敷传统中医外科膏药，通过膏药外敷,舒筋活血,消肿止痛,活血散淤,祛风散寒,并通过皮肤传导至经络、筋骨，激发肌体的调节功能，可迅速消除肿痛，促进血液流畅和功能恢复。你的检查结果、发病部位、外在表现、疼痛情况、目前的用药情况都是怎样的，最好能详细说明一下，以便能为你做出准确的指导，以取得最好的治疗效果不明之处可随时咨询．祝早日康复！ "
"我脚底总发热,不是汗脚,春夏更明显,睡觉不能盖着,",您好，您说的情况不能算病。不红不肿，结构上无异常，对功能无影响，没有给您造成明显的不适和痛苦，不是病。 
左肢胫腓骨下段双折后手术固定（不锈钢内钉，四颗胶钉,一班一年以后就可以但是要看愈合情况费用各地不一样两千元左右吧 
